Codigo_Unico,Categoria,Sub_Categoria,Senioridade,modelo,Categoria_Candidaturas,Habilidade,Mencionada
a9fcd9ad-ec96-4780-8f46-9aaed55eea4e,DESENVOLVIMENTO,DESENVOLVIMENTO FRONTEND,ASSISTENTE,REMOTO,Até 25 Candidaturas,SCRUM,1
796092c0-4593-4bb6-a38c-bed05430afd4,DESENVOLVIMENTO,DESENVOLVIMENTO BACKEND,PLENO-SÊNIOR,HÍBRIDO,Entre 101 e 200 Candidaturas,SCRUM,1
097e1c40-e2b6-4c07-95f2-a2cc1406dc76,DESENVOLVIMENTO,OUTROS DESENVOLVIMENTO,ASSISTENTE,OUTRO,0 Candidaturas,SCRUM,1
30f0a6f3-02a8-49c8-b103-0e42255f7830,DESENVOLVIMENTO,OUTROS DESENVOLVIMENTO,PLENO-SÊNIOR,OUTRO,Até 25 Candidaturas,SCRUM,1
1dcdc87f-5ada-4961-a8ce-5011ab6079b2,DESENVOLVIMENTO,OUTROS DESENVOLVIMENTO,PLENO-SÊNIOR,OUTRO,Até 25 Candidaturas,SCRUM,1
a98a2189-fd0b-4256-b1ec-6677525958ea,DESENVOLVIMENTO,DESENVOLVIMENTO BACKEND,ASSISTENTE,REMOTO,0 Candidaturas,SCRUM,1
f72328c5-f4f6-4db0-ae6f-f5b31d512ba7,DESENVOLVIMENTO,OUTROS DESENVOLVIMENTO,PLENO-SÊNIOR,OUTRO,Até 25 Candidaturas,SCRUM,1
708aeabd-31a0-4374-b40c-b7de35443e4c,CLOUD/DEVOPS/INFRA,CLOUD/DEVOPS/INFRA,PLENO-SÊNIOR,PRESENCIAL,Até 25 Candidaturas,SCRUM,1
25ebbe60-43b6-469a-a41d-6eb347f64b73,ANÁLISE DE SISTEMAS,ANÁLISE DE SISTEMAS,PLENO-SÊNIOR,HÍBRIDO,0 Candidaturas,SCRUM,1
da643dca-c576-4809-bad6-7dc775692365,ANÁLISE DE SISTEMAS,ANÁLISE DE SISTEMAS,PLENO-SÊNIOR,HÍBRIDO,0 Candidaturas,SCRUM,1
ed2e46df-aee7-4216-82fa-2e320bb64ea3,DESENVOLVIMENTO,DESENVOLVIMENTO BACKEND,ESTÁGIO,REMOTO,0 Candidaturas,SCRUM,1
2abab78d-67cb-43b8-9d18-8dfa9b74e853,DESENVOLVIMENTO,OUTROS DESENVOLVIMENTO,PLENO-SÊNIOR,REMOTO,Entre 101 e 200 Candidaturas,SCRUM,1
40d126d3-0ab6-41ea-8abb-a445adcfa882,DESENVOLVIMENTO,OUTROS DESENVOLVIMENTO,PLENO-SÊNIOR,HÍBRIDO,0 Candidaturas,SCRUM,1
